tournament_year,player1_name,player2_name,weight
all_time,Manley P.,Taylor P.,11
all_time,Manley P.,Stoddart G.,3
all_time,Manley P.,Bristow E.,3
all_time,Manley P.,Lowe J.,3
all_time,Manley P.,Mawson G.,3
all_time,Manley P.,Schenk J.,3
all_time,Manley P.,Anderson B.,4
all_time,Manley P.,Deller K.,3
all_time,Manley P.,Atwood W.,3
all_time,Manley P.,Whitlock S.,3
all_time,Manley P.,Brown S.,4
all_time,Manley P.,Harvey J.,3
all_time,Manley P.,Priestley D.,3
all_time,Manley P.,Evison P.,3
all_time,Manley P.,Jenkins A.,3
all_time,Manley P.,Suljovic M.,3
all_time,Manley P.,Shepherd K.,3
all_time,Manley P.,Van der Rassel J.,3
all_time,Manley P.,Warriner-Little A.,3
all_time,Manley P.,Greebe T.,3
all_time,Manley P.,Havenga W.,3
all_time,Manley P.,Jowett D.,3
all_time,Manley P.,Lewis A.,3
all_time,Manley P.,Smith D.,3
all_time,Manley P.,Clark J.,3
all_time,Manley P.,Spiolek K.,3
all_time,Taylor P.,Warriner-Little A.,8
all_time,Taylor P.,Anderson B.,7
all_time,Taylor P.,Lowe J.,5
all_time,Taylor P.,Harding R.,3
all_time,Taylor P.,Priestley D.,10
all_time,Taylor P.,Harrington R.,4
all_time,Taylor P.,Burgess S.,4
all_time,Taylor P.,Smith D.,7
all_time,Taylor P.,Spiolek K.,3
all_time,Taylor P.,Mason C.,7
all_time,Taylor P.,Verrier G.,4
all_time,Taylor P.,Deller K.,3
all_time,Taylor P.,Lazarenko C.,3
all_time,Taylor P.,Downs S.,3
all_time,Taylor P.,Brown S.,7
all_time,Taylor P.,Watkins J.,3
all_time,Taylor P.,Harvey J.,3
all_time,Taylor P.,Painter K.,14
all_time,Taylor P.,Roy A.,3
all_time,Taylor P.,Mardle W.,9
all_time,Taylor P.,McGarry C.,3
all_time,Taylor P.,Part J.,4
all_time,Taylor P.,Williams P.,3
all_time,Taylor P.,Justice N.,3
all_time,Taylor P.,Manning M.,3
all_time,Taylor P.,Webster M.,8
all_time,Taylor P.,Wright P.,3
all_time,Taylor P.,Laursen P.,3
all_time,Taylor P.,Mawson G.,3
all_time,Taylor P.,Whitlock S.,3
all_time,Taylor P.,Lewis A.,3
all_time,Taylor P.,Thornton R.,7
all_time,Taylor P.,Hine S.,3
all_time,Taylor P.,Monk C.,3
all_time,Taylor P.,van Barneveld R.,8
all_time,Taylor P.,King M.,3
all_time,Taylor P.,Stompe C.,3
all_time,Taylor P.,van Gerwen M.,8
all_time,Taylor P.,Grubb S.,3
all_time,Taylor P.,Tabern A.,3
all_time,Taylor P.,Walsh M.,3
all_time,Taylor P.,Hamilton A.,8
all_time,Taylor P.,Webster D.,3
all_time,Taylor P.,McGowan M.,3
all_time,Taylor P.,Pein A.,3
all_time,Taylor P.,Clark M.,3
all_time,Taylor P.,Platt D.,7
all_time,Taylor P.,Huybrechts K.,4
all_time,Taylor P.,Klaasen J.,3
all_time,Taylor P.,Ono K.,3
all_time,Taylor P.,Van der Voort V.,3
all_time,Taylor P.,Artut J.,3
all_time,Taylor P.,Smith M.,3
all_time,Taylor P.,Szabo R.,3
all_time,Taylor P.,Hendriks J.,3
all_time,Taylor P.,Mansell M.,3
all_time,Taylor P.,Chisnall D.,3
all_time,Taylor P.,Muramatsu H.,3
all_time,Taylor P.,Anderson G.,3
all_time,Taylor P.,Brown K.,3
all_time,Taylor P.,Pipe J.,3
all_time,Taylor P.,Dobey C.,3
all_time,Burgess S.,Manley P.,3
all_time,Burgess S.,Lazarenko C.,4
all_time,Burgess S.,Cummings S.,3
all_time,Burgess S.,Anderson B.,3
all_time,Burgess S.,Verrier G.,3
all_time,Burgess S.,Downs S.,3
all_time,Burgess S.,Harrington R.,3
all_time,Burgess S.,Bristow E.,3
all_time,Burgess S.,Moen A.,3
all_time,Burgess S.,Taylor P.,3
all_time,Burgess S.,Scholten R.,3
all_time,Burgess S.,Lloyd C.,3
all_time,Warriner-Little A.,Ferrell J.,3
all_time,Warriner-Little A.,Robinson H.,4
all_time,Warriner-Little A.,Part J.,3
all_time,Warriner-Little A.,Brown S.,3
all_time,Warriner-Little A.,Butler L.,3
all_time,Warriner-Little A.,Stoddart G.,4
all_time,Warriner-Little A.,Priestley D.,3
all_time,Warriner-Little A.,Kirby T.,3
all_time,Warriner-Little A.,Smith D.,3
all_time,Warriner-Little A.,Lazarenko C.,3
all_time,Warriner-Little A.,Gardner R.,3
all_time,Warriner-Little A.,Williams P.,3
all_time,Warriner-Little A.,Roy A.,4
all_time,Warriner-Little A.,Lowe J.,3
all_time,Warriner-Little A.,Harrington R.,3
all_time,Warriner-Little A.,Lloyd C.,3
all_time,Warriner-Little A.,Harding R.,4
all_time,Warriner-Little A.,Taylor P.,3
all_time,Warriner-Little A.,Lim P.,3
all_time,Warriner-Little A.,Yongsheng S.,3
all_time,Warriner-Little A.,Tabern A.,3
all_time,Warriner-Little A.,Convery G.,3
all_time,Warriner-Little A.,Welge A.,3
all_time,Lazarenko C.,Raw S.,3
all_time,Lazarenko C.,Stoddart G.,3
all_time,Lazarenko C.,Cummings S.,3
all_time,Smith D.,Manley P.,3
all_time,Smith D.,Manning M.,3
all_time,Smith D.,Spiolek K.,3
all_time,Smith D.,Deller K.,3
all_time,Smith D.,Kirby T.,4
all_time,Smith D.,Lowe J.,3
all_time,Smith D.,Anderson B.,3
all_time,Smith D.,Fitton L.,3
all_time,Smith D.,Priestley D.,3
all_time,Smith D.,Baxter R.,3
all_time,Smith D.,Lim P.,3
all_time,Smith D.,Evison P.,3
all_time,Smith D.,Taylor P.,3
all_time,Smith D.,Part J.,3
all_time,Smith D.,Lazarenko C.,3
all_time,Smith D.,King M.,3
all_time,Smith D.,McDine K.,3
all_time,Smith D.,Salmon M.,3
all_time,Anderson B.,Harvey J.,3
all_time,Anderson B.,Verrier G.,4
all_time,Anderson B.,Bristow E.,3
all_time,Anderson B.,Mawson G.,3
all_time,Anderson B.,Taylor P.,4
all_time,Anderson B.,Gardner R.,3
all_time,Anderson B.,Umberger J.,3
all_time,Anderson B.,Kelly D.,3
all_time,Anderson B.,Hamilton A.,7
all_time,Anderson B.,Painter K.,3
all_time,Anderson B.,Smith D.,3
all_time,Anderson B.,Hedman A.,3
all_time,Anderson B.,Clark J.,3
all_time,Anderson B.,Webster D.,3
all_time,Ferrell J.,Mawson G.,3
all_time,Harvey J.,Ferrell J.,3
all_time,Harvey J.,Lim P.,3
all_time,Harvey J.,Lowe J.,7
