tournament_year,stage,player1_name,player2_name
2005,FINAL,Dudbridge M.,Taylor P.
2005,SEMI-FINALS,Mardle W.,Dudbridge M.
2005,SEMI-FINALS,Taylor P.,Anderson B.
2005,QUARTER-FINALS,Anderson B.,Hamilton A.
2005,QUARTER-FINALS,Lloyd C.,Mardle W.
2005,QUARTER-FINALS,Ovens D.,Dudbridge M.
2005,QUARTER-FINALS,Taylor P.,Painter K.
2005,1/8-FINALS,Baxter R.,Anderson B.
2005,1/8-FINALS,Painter K.,Jenkins A.
2005,1/8-FINALS,Schenk J.,Hamilton A.
2005,1/16-FINALS,Baxter R.,Jenkins T.
2005,1/16-FINALS,Beaton S.,Hamilton A.
2005,1/8-FINALS,Lloyd C.,Mason C.
2005,1/8-FINALS,Mardle W.,Williams P.
2005,1/8-FINALS,Part J.,Dudbridge M.
2005,1/8-FINALS,Scholten R.,Ovens D.
2005,1/8-FINALS,Taylor P.,Priestley D.
2005,1/16-FINALS,Askew D.,Mason C.
2005,1/16-FINALS,Jenkins A.,Evison P.
2005,1/16-FINALS,Manley P.,Schenk J.
2005,1/16-FINALS,Painter K.,Jones W.
2005,1/16-FINALS,Priestley D.,Sams L.
2005,1/16-FINALS,Smith D.,Anderson B.
2005,1/16-FINALS,Taylor P.,Roy A.
2005,1/16-FINALS,Dudbridge M.,Burnett R.
2005,1/16-FINALS,Lloyd C.,Verwey J.
2005,1/16-FINALS,Mardle W.,Walsh M.
2005,1/16-FINALS,Ovens D.,Holden M.
2005,1/16-FINALS,Part J.,Convery G.
2005,1/16-FINALS,Scholten R.,Harvey J.
2005,1/16-FINALS,Warriner-Little A.,Williams P.
2005,FINAL,Caves A.,Schenk J.
2005,FINAL,Deller K.,Jones W.
2005,FINAL,Evison P.,Landers M.
2005,SEMI-FINALS,Jouannet B.,Jones W.
2005,FINAL,Lowe J.,Verwey J.
2005,FINAL,Manning M.,Hamilton A.
2005,FINAL,Mason C.,Clark J.
2005,FINAL,Newton W.,Convery G.
2005,FINAL,Whatley S.,Holden M.
2005,SEMI-FINALS,Clark J.,Matsunaga Y.
2005,SEMI-FINALS,Holden M.,Wade J.
2005,SEMI-FINALS,Jun T.,Convery G.
2005,SEMI-FINALS,Landers M.,Reynolds A.
2005,SEMI-FINALS,Thomson M.,Hamilton A.
2005,SEMI-FINALS,Verwey J.,Forde A.
2005,SEMI-FINALS,Young D.,Schenk J.
