tournament_year,stage,player1_name,player2_name
2012,FINAL,Hamilton A.,Lewis A.
2012,SEMI-FINALS,Lewis A.,Wade J.
2012,SEMI-FINALS,Hamilton A.,Whitlock S.
2012,QUARTER-FINALS,Lewis A.,Jenkins T.
2012,QUARTER-FINALS,Whitlock S.,Anderson G.
2012,QUARTER-FINALS,Part J.,Wade J.
2012,QUARTER-FINALS,Hamilton A.,Huybrechts K.
2012,1/8-FINALS,Anderson G.,Lloyd C.
2012,1/8-FINALS,Chisnall D.,Hamilton A.
2012,1/8-FINALS,Whitlock S.,van Gerwen M.
2012,1/8-FINALS,Huybrechts K.,Nicholson P.
2012,1/8-FINALS,Wade J.,Farmer S.
2012,1/8-FINALS,Part J.,Painter K.
2012,1/8-FINALS,Pipe J.,Jenkins T.
2012,1/8-FINALS,Lewis A.,Jones W.
2012,1/16-FINALS,Anderson G.,Petersen D.
2012,1/16-FINALS,Lloyd C.,Rand S.
2012,1/16-FINALS,Whitlock S.,Beaton S.
2012,1/16-FINALS,King M.,van Gerwen M.
2012,1/16-FINALS,Nicholson P.,Tabern A.
2012,1/16-FINALS,Taylor P.,Chisnall D.
2012,1/16-FINALS,Richardson J.,Huybrechts K.
2012,1/16-FINALS,Van der Voort V.,Hamilton A.
2012,1/16-FINALS,Burnett R.,Part J.
2012,1/16-FINALS,Jenkins T.,Stompe C.
2012,1/16-FINALS,Farmer S.,Munch K.
2012,1/16-FINALS,Wade J.,Klaasen J.
2012,1/16-FINALS,Walsh M.,Painter K.
2012,1/16-FINALS,Newton W.,Pipe J.
2012,1/16-FINALS,Lewis A.,Thornton R.
2012,1/16-FINALS,Jones W.,Scholten R.
2012,1/32-FINALS,Brown S.,Petersen D.
2012,1/32-FINALS,Whitlock S.,Smith D.
2012,1/32-FINALS,Part J.,Henderson J.
2012,FINAL,Petersen D.,de Sousa J.
2012,1/32-FINALS,Smith A.,Rand S.
2012,1/32-FINALS,Jenkins T.,Cullen J.
2012,1/32-FINALS,Anderson G.,Artut J.
2012,1/32-FINALS,Osborne C.,van Gerwen M.
2012,FINAL,Cullen J.,Ferenc O.
2012,1/32-FINALS,Lloyd C.,Young D.
2012,1/32-FINALS,Wade J.,Korte P.
2012,1/32-FINALS,Painter K.,Monk A.
2012,1/32-FINALS,King M.,Kime G.
2012,FINAL,Laursen P.,Korte P.
2012,1/32-FINALS,Hamilton A.,Alcinas T.
2012,1/32-FINALS,Walsh M.,French W.
2012,1/32-FINALS,van Barneveld R.,Richardson J.
2012,1/32-FINALS,Dudbridge M.,Chisnall D.
2012,1/32-FINALS,Dolan B.,Huybrechts K.
2012,FINAL,Finnan C.,French W.
2012,1/32-FINALS,Ovens D.,Munch K.
2012,1/32-FINALS,Nicholson P.,Suljovic M.
2012,1/32-FINALS,Van der Voort V.,Hylton M.
2012,FINAL,Munch K.,Peng L. Ch.
2012,1/32-FINALS,Beaton S.,Caris M.
2012,1/32-FINALS,Tabern A.,Perez C.
2012,1/32-FINALS,Thornton R.,White I.
2012,1/32-FINALS,Baxter R.,Farmer S.
2012,FINAL,Burger D.,Perez C.
2012,1/32-FINALS,Wright P.,Klaasen J.
2012,1/32-FINALS,Taylor P.,Muramatsu H.
2012,1/32-FINALS,Newton W.,van de Rijk K.
2012,1/32-FINALS,Stompe C.,Smith M.
2012,FINAL,Muramatsu H.,Nilsson D.
2012,1/32-FINALS,Pipe J.,Reed S.
2012,1/32-FINALS,Jones W.,MacKenzie S.
2012,1/32-FINALS,Lewis A.,Heydon N.
2012,1/32-FINALS,Webster M.,Burnett R.
2012,FINAL,Barham P.,MacKenzie S.
2012,1/32-FINALS,Caven J.,Scholten R.
