tournament_year,player1_name,player2_name,weight
Network 4,Webster M.,van Barneveld R.,0
Network 4,Webster M.,Suljovic M.,0
Network 4,Webster M.,Lloyd C.,0
Network 4,Webster M.,White I.,0
Network 4,Webster M.,Burnett R.,0
Network 4,Lewis A.,van Barneveld R.,1
Network 4,Lewis A.,Cullen J.,0
Network 4,Lewis A.,Caris M.,0
Network 4,Lewis A.,Anderson G.,0
Network 4,Lewis A.,Wright P.,0
Network 4,Lewis A.,Suljovic M.,0
Network 4,Lewis A.,Gilding A.,0
Network 4,Lewis A.,Dekker J.,0
Network 4,Lewis A.,Brown K.,0
Network 4,Lewis A.,Pallett D.,0
Network 4,Lewis A.,King M.,0
Network 4,Lewis A.,Van der Voort V.,0
Network 4,Lewis A.,Smith D.,0
Network 4,Lewis A.,van Gerwen M.,0
Network 4,Lewis A.,Painter K.,0
Network 4,Lewis A.,Ovens D.,0
Network 4,Lewis A.,Vos G.,0
Network 4,Lewis A.,Wade J.,0
Network 4,Lewis A.,Jenkins T.,0
Network 4,Lewis A.,Jones W.,0
Network 4,Lewis A.,Thornton R.,0
Network 4,Lewis A.,Heydon N.,0
Network 4,van de Pas B.,Jenkins T.,0
Network 4,van de Pas B.,Shah T. H.,0
Network 4,van de Pas B.,Hopp M.,0
Network 4,van de Pas B.,Thornton R.,0
Network 4,Lewis J.,McGowan M.,0
Network 4,Lewis J.,Gurney D.,0
Network 4,Dolan B.,Kist C.,0
Network 4,Dolan B.,Anderson K.,0
Network 4,Dolan B.,Smith M.,0
Network 4,Dolan B.,Arendse N.,0
Network 4,Dolan B.,Anderson G.,0
Network 4,Dolan B.,Osborne C.,0
Network 4,Dolan B.,Jones M.,0
Network 4,Dolan B.,Huybrechts K.,0
Network 4,Beaton S.,Petersen D.,1
Network 4,Beaton S.,Kokiri K.,0
Network 4,Beaton S.,Anderson K.,1
Network 4,Beaton S.,Caris M.,0
Network 4,Hopp M.,Van der Voort V.,0
Network 4,Hopp M.,Charl P.,0
Network 4,Reyes C.,van den Bergh D.,0
Network 4,Reyes C.,Painter K.,0
Network 4,Painter K.,Viljanen K.,0
Network 4,Painter K.,Koltsov B.,0
Network 4,Painter K.,Nicholson P.,0
Network 4,Painter K.,Seyler T.,0
Network 4,Painter K.,Baxter R.,0
Network 4,Painter K.,Chen N. L.,0
Network 4,Painter K.,Monk A.,0
Network 4,Norris A.,Michael J.,0
Network 4,Norris A.,Klaasen J.,0
Network 4,Norris A.,Webster M.,0
Network 4,Norris A.,Murnan J.,0
Network 4,Thornton R.,Gurney D.,0
Network 4,Thornton R.,Lerchbacher Z.,0
Network 4,Thornton R.,Norris A.,0
Network 4,Thornton R.,Baxter R.,0
Network 4,Thornton R.,Gilding A.,0
Network 4,Thornton R.,Anderson B.,0
Network 4,Thornton R.,Hopp M.,0
Network 4,Thornton R.,Caris M.,0
Network 4,Thornton R.,White I.,0
Network 4,Suljovic M.,Webster M.,0
Network 4,Suljovic M.,Meulenkamp R.,0
Network 4,Suljovic M.,Wattimena J.,0
Network 4,Cullen J.,Cadby C.,0
Network 4,Cullen J.,Ferenc O.,0
Network 4,Gilding A.,Price G.,0
Network 4,Whitlock S.,Horvat D.,0
Network 4,Whitlock S.,Evans R.,0
Network 4,Whitlock S.,Webster D.,0
Network 4,Whitlock S.,Painter K.,0
Network 4,Whitlock S.,Komula J.,0
Network 4,Whitlock S.,Smith R.,0
Network 4,Whitlock S.,van Barneveld R.,0
Network 4,Whitlock S.,Chisnall D.,0
Network 4,Whitlock S.,Osborne C.,0
Network 4,Whitlock S.,Muramatsu H.,0
Network 4,Whitlock S.,Anderson G.,0
Network 4,Whitlock S.,van Gerwen M.,0
Network 4,Whitlock S.,Beaton S.,0
Network 4,Whitlock S.,Smith D.,0
Network 4,Jenkins T.,Payne J.,0
Network 4,Jenkins T.,Webster M.,0
Network 4,Jenkins T.,Young D.,0
Network 4,Jenkins T.,Ryder L.,0
Network 4,Jenkins T.,Weber J.,0
Network 4,Jenkins T.,Laursen P.,0
Network 4,Jenkins T.,Part J.,0
Network 4,Jenkins T.,Brown S.,0
Network 4,Jenkins T.,Stompe C.,0
Network 4,Jenkins T.,Cullen J.,0
Network 4,King M.,West S.,0
Network 4,King M.,Klaasen J.,0
Network 4,King M.,Oreshkin A.,0
Network 4,King M.,Hopp M.,0
Network 4,King M.,Evans R.,0
Network 4,King M.,Young D.,0
Network 4,King M.,Winstanley D.,0
Network 4,King M.,van Gerwen M.,0
Network 4,King M.,Kime G.,0
Network 4,Van der Voort V.,Hopp M.,0
Network 4,Van der Voort V.,Anderson K.,0
Network 4,Van der Voort V.,Ryder L.,0
Network 4,Van der Voort V.,Henderson J.,0
Network 4,Van der Voort V.,Clark M.,0
Network 4,Van der Voort V.,Kellett S.,0
Network 4,Van der Voort V.,Hamilton A.,0
Network 4,Van der Voort V.,Hylton M.,0
Network 4,Lerchbacher Z.,Stevenson S.,0
Network 4,Lerchbacher Z.,Ward B.,0
Network 4,Koltsov B.,Horvat D.,0
Network 4,Koltsov B.,Muramatsu H.,0
Network 4,Qiang S.,Cadby C.,0
Network 4,Qiang S.,McGowan M.,0
Network 4,Wattimena J.,Marijanovic R.,0
Network 4,Bowles J.,Platt D.,0
Network 4,Simm K.,Ulang G.,0
Network 4,Pipe J.,Dobey C.,0
Network 4,Pipe J.,Kist C.,0
Network 4,Pipe J.,Ryder L.,0
Network 4,Pipe J.,Petersen D.,0
Network 4,Pipe J.,Monk A.,0
Network 4,Pipe J.,Walsh M.,0
Network 4,Pipe J.,Jenkins A.,0
Network 4,Pipe J.,Jenkins T.,0
Network 4,Pipe J.,Reed S.,0
Network 4,Viljanen K.,Groen S.,0
Network 4,Viljanen K.,Stein S.,0
Network 4,Bunting S.,Webster D.,0
Network 4,Bunting S.,Artut J.,0
Network 4,Bunting S.,van Barneveld R.,0
Network 4,Bunting S.,Smith M.,0
Network 4,Bunting S.,Marijanovic R.,0
Network 4,van den Bergh D.,van de Pas B.,0
Network 4,Snook R.,Viljanen K.,0
Network 4,Shah T. H.,Chino M.,0
Network 4,Henderson J.,Gilding A.,0
Network 4,Henderson J.,Webster D.,0
Network 4,Henderson J.,Webster M.,0
Network 4,Hendriks J.,Parry W.,0
Network 4,Petersen D.,Latif Sapup M.,0
Network 4,Petersen D.,de Sousa J.,0
Network 4,Price G.,Clayton J.,0
Network 4,Evans R.,Caven J.,0
Network 4,Caven J.,Painter K.,0
