tournament_year,stage,player1_name,player2_name
2003,FINAL,Taylor P.,Part J.
2003,SEMI-FINALS,Painter K.,Part J.
2003,SEMI-FINALS,Taylor P.,Warriner-Little A.
2003,QUARTER-FINALS,Mason C.,Part J.
2003,QUARTER-FINALS,Painter K.,Burnett R.
2003,QUARTER-FINALS,Scholten R.,Warriner-Little A.
2003,QUARTER-FINALS,Taylor P.,Smith D.
2003,1/8-FINALS,Baxter R.,Painter K.
2003,1/8-FINALS,Burnett R.,Whitlock S.
2003,1/8-FINALS,Harvey J.,Part J.
2003,1/8-FINALS,Lloyd C.,Mason C.
2003,1/8-FINALS,Fitton L.,Warriner-Little A.
2003,1/8-FINALS,Ovens D.,Smith D.
2003,1/8-FINALS,Scholten R.,Askew D.
2003,1/8-FINALS,Taylor P.,Mardle W.
2003,1/16-FINALS,Baxter R.,Manning M.
2003,1/16-FINALS,Burnett R.,Deller K.
2003,1/16-FINALS,Jenkins A.,Mason C.
2003,1/16-FINALS,Lloyd C.,Anderson B.
2003,1/16-FINALS,Manley P.,Whitlock S.
2003,1/16-FINALS,Painter K.,Harding R.
2003,1/16-FINALS,Askew D.,Beaton S.
2003,1/16-FINALS,Lowe J.,Fitton L.
2003,1/16-FINALS,Ovens D.,Roy A.
2003,1/16-FINALS,Part J.,Lazarenko C.
2003,1/16-FINALS,Scholten R.,Burgess S.
2003,1/16-FINALS,Warriner-Little A.,Harrington R.
2003,1/16-FINALS,Evison P.,Mardle W.
2003,1/16-FINALS,Harvey J.,Holden M.
2003,1/16-FINALS,Smith D.,Priestley D.
2003,1/16-FINALS,Taylor P.,Brown S.
2003,FINAL,Anderson B.,Hedman A.
2003,FINAL,Manning M.,Palfreyman L.
2003,FINAL,Brown S.,Platt D.
2003,FINAL,Burgess S.,Moen A.
2003,FINAL,Harding R.,Robinson M.
2003,FINAL,Holden M.,Smith D.
2003,FINAL,Mardle W.,Carver R.
2003,FINAL,Whitlock S.,Williams P.
