tournament_year,player1_name,player2_name,weight
Network 1,Manley P.,Taylor P.,0
Network 1,Manley P.,Stoddart G.,0
Network 1,Manley P.,Bristow E.,0
Network 1,Manley P.,Lowe J.,0
Network 1,Manley P.,Mawson G.,0
Network 1,Taylor P.,Warriner-Little A.,0
Network 1,Taylor P.,Anderson B.,0
Network 1,Taylor P.,Lowe J.,2
Network 1,Taylor P.,Harding R.,0
Network 1,Taylor P.,Priestley D.,2
Network 1,Taylor P.,Harrington R.,1
Network 1,Taylor P.,Burgess S.,1
Network 1,Taylor P.,Smith D.,0
Network 1,Taylor P.,Spiolek K.,0
Network 1,Taylor P.,Mason C.,0
Network 1,Taylor P.,Verrier G.,1
Network 1,Taylor P.,Deller K.,0
Network 1,Taylor P.,Lazarenko C.,0
Network 1,Taylor P.,Downs S.,0
Network 1,Taylor P.,Brown S.,0
Network 1,Taylor P.,Watkins J.,0
Network 1,Taylor P.,Harvey J.,0
Network 1,Burgess S.,Manley P.,0
Network 1,Burgess S.,Lazarenko C.,1
Network 1,Burgess S.,Cummings S.,0
Network 1,Burgess S.,Anderson B.,0
Network 1,Burgess S.,Verrier G.,0
Network 1,Burgess S.,Downs S.,0
Network 1,Burgess S.,Harrington R.,0
Network 1,Burgess S.,Bristow E.,0
Network 1,Warriner-Little A.,Ferrell J.,0
Network 1,Warriner-Little A.,Robinson H.,1
Network 1,Warriner-Little A.,Part J.,0
Network 1,Warriner-Little A.,Brown S.,0
Network 1,Warriner-Little A.,Butler L.,0
Network 1,Warriner-Little A.,Stoddart G.,1
Network 1,Warriner-Little A.,Priestley D.,0
Network 1,Warriner-Little A.,Kirby T.,0
Network 1,Warriner-Little A.,Smith D.,0
Network 1,Warriner-Little A.,Lazarenko C.,0
Network 1,Warriner-Little A.,Gardner R.,0
Network 1,Lazarenko C.,Raw S.,0
Network 1,Lazarenko C.,Stoddart G.,0
Network 1,Smith D.,Manley P.,0
Network 1,Smith D.,Manning M.,0
Network 1,Smith D.,Spiolek K.,0
Network 1,Smith D.,Deller K.,0
Network 1,Smith D.,Kirby T.,1
Network 1,Smith D.,Lowe J.,0
Network 1,Anderson B.,Harvey J.,0
Network 1,Anderson B.,Verrier G.,1
Network 1,Anderson B.,Bristow E.,0
Network 1,Anderson B.,Mawson G.,0
Network 1,Anderson B.,Taylor P.,1
Network 1,Anderson B.,Gardner R.,0
Network 1,Anderson B.,Umberger J.,0
Network 1,Anderson B.,Kelly D.,0
Network 1,Ferrell J.,Mawson G.,0
Network 1,Harvey J.,Ferrell J.,0
Network 1,Harvey J.,Lim P.,0
Network 1,Harvey J.,Lowe J.,0
Network 1,Harvey J.,Priestley D.,0
Network 1,Harvey J.,Anderson B.,0
Network 1,Harvey J.,Verrier G.,0
Network 1,Harvey J.,Harrington R.,0
Network 1,Harvey J.,Watkins J.,0
Network 1,Brown S.,Lazarenko C.,0
Network 1,Brown S.,Spiolek K.,0
Network 1,Brown S.,Robinson H.,0
Network 1,Brown S.,Stoddart G.,0
Network 1,Brown S.,Warriner-Little A.,1
Network 1,Brown S.,Watkins J.,0
Network 1,Brown S.,Harvey J.,0
Network 1,Brown S.,Deller K.,0
Network 1,Mawson G.,Gardner R.,0
Network 1,Mawson G.,Lowe J.,0
Network 1,Harrington R.,Burgess S.,1
Network 1,Harrington R.,Roy A.,0
Network 1,Harrington R.,Deller K.,0
Network 1,Harrington R.,Evison P.,1
Network 1,Harrington R.,Ferrell J.,0
Network 1,Harrington R.,Harvey J.,0
Network 1,Harrington R.,Priestley D.,0
Network 1,Harrington R.,Butler L.,0
Network 1,Harrington R.,Justice N.,0
Network 1,Harrington R.,Bristow E.,1
Network 1,Harrington R.,Downs S.,0
Network 1,Stoddart G.,Butler L.,0
Network 1,Stoddart G.,Wilson J.,0
Network 1,Manning M.,Stoddart G.,0
Network 1,Lowe J.,Lim P.,1
Network 1,Lowe J.,Kirby T.,1
Network 1,Lowe J.,Smith D.,0
Network 1,Lowe J.,Wilson J.,0
Network 1,Lowe J.,Butler L.,0
Network 1,Allsopp D.,Lazarenko C.,0
Network 1,Spiolek K.,Deller K.,3
Network 1,Spiolek K.,Smith D.,0
Network 1,Spiolek K.,Downs S.,0
Network 1,Spiolek K.,Butler L.,0
Network 1,Spiolek K.,Brown S.,0
Network 1,Deller K.,Anderson B.,0
Network 1,Deller K.,Robinson H.,0
Network 1,Deller K.,Manning M.,0
Network 1,Deller K.,Stoddart G.,0
Network 1,Deller K.,Taylor P.,0
Network 1,Downs S.,Robinson H.,0
Network 1,Downs S.,Harrington R.,0
Network 1,Downs S.,Deller K.,0
Network 1,Evison P.,Smith D.,0
Network 1,Evison P.,Lim P.,0
Network 1,Evison P.,Part J.,0
Network 1,Evison P.,Priestley D.,0
Network 1,Evison P.,Harvey J.,0
Network 1,Evison P.,Lazarenko C.,1
