tournament_year,player1_name,player2_name,weight
Network 3,Lewis A.,Anderson G.,0
Network 3,Lewis A.,Van der Voort V.,1
Network 3,Lewis A.,Thornton R.,0
Network 3,Lewis A.,Dudbridge M.,0
Network 3,Lewis A.,Eccles T.,1
Network 3,Lewis A.,McDine K.,0
Network 3,Lewis A.,Newton W.,0
Network 3,Lewis A.,Nicholson P.,0
Network 3,Lewis A.,Stewart R.,0
Network 3,Lewis A.,Askew D.,0
Network 3,Lewis A.,Jenkins A.,0
Network 3,Lewis A.,Jones W.,0
Network 3,Lewis A.,Fleet A.,0
Network 3,Lewis A.,Honey D.,0
Network 3,Anderson G.,van Barneveld R.,0
Network 3,Anderson G.,Priestley D.,0
Network 3,Anderson G.,Hashimoto M.,0
Network 3,Jenkins T.,Anderson G.,0
Network 3,Jenkins T.,Walsh M.,0
Network 3,Jenkins T.,Brown S.,0
Network 3,Jenkins T.,Cullen J.,0
Network 3,Jenkins T.,Whitlock S.,0
Network 3,Jenkins T.,Young D.,0
Network 3,Jenkins T.,Nicholson P.,0
Network 3,Jenkins T.,Smith D.,0
Network 3,Jenkins T.,Shepherd K.,0
Network 3,Jenkins T.,Hamilton A.,1
Network 3,Jenkins T.,Wade J.,0
Network 3,Jenkins T.,Beaton S.,0
Network 3,Jenkins T.,Lawrence M.,0
Network 3,Jenkins T.,Mann J.,0
Network 3,Webster M.,Lewis A.,0
Network 3,Webster M.,Hylton M.,0
Network 3,Webster M.,Maish S.,0
Network 3,Webster M.,van Barneveld R.,0
Network 3,Webster M.,Manley P.,0
Network 3,Taylor P.,Webster M.,1
Network 3,Taylor P.,Wright P.,0
Network 3,Taylor P.,Laursen P.,0
Network 3,Taylor P.,Mawson G.,0
Network 3,Taylor P.,Whitlock S.,0
Network 3,Taylor P.,Lewis A.,0
Network 3,Taylor P.,Thornton R.,0
Network 3,Taylor P.,Hine S.,0
Network 3,Taylor P.,Monk C.,0
Network 3,Taylor P.,van Barneveld R.,0
Network 3,Taylor P.,King M.,0
Network 3,Taylor P.,Stompe C.,0
Network 3,Taylor P.,Painter K.,1
Network 3,Taylor P.,van Gerwen M.,1
Network 3,Taylor P.,Grubb S.,0
Network 3,Taylor P.,Mardle W.,1
Network 3,Taylor P.,Tabern A.,0
Network 3,Taylor P.,Walsh M.,0
Network 3,Taylor P.,Hamilton A.,1
Network 3,Taylor P.,Webster D.,0
Network 3,Taylor P.,Mason C.,0
Network 3,Taylor P.,McGowan M.,0
Network 3,Taylor P.,Pein A.,0
Network 3,Taylor P.,Clark M.,0
Network 3,Taylor P.,Platt D.,0
Network 3,van Barneveld R.,Osborne C.,0
Network 3,van Barneveld R.,McDine K.,0
Network 3,van Barneveld R.,Hine S.,0
Network 3,van Barneveld R.,Whitlock S.,0
Network 3,van Barneveld R.,Baxter R.,1
Network 3,van Barneveld R.,Painter K.,1
Network 3,van Barneveld R.,Dolan B.,0
Network 3,van Barneveld R.,Parry W.,0
Network 3,van Barneveld R.,Wade J.,0
Network 3,van Barneveld R.,Klaasen J.,0
Network 3,van Barneveld R.,Newton W.,0
Network 3,van Barneveld R.,Stephenson M.,0
Network 3,van Barneveld R.,Clark J.,0
Network 3,van Barneveld R.,Forde A.,0
Network 3,van Barneveld R.,Taylor P.,0
Network 3,van Barneveld R.,Jenkins A.,0
Network 3,van Barneveld R.,Tabern A.,0
Network 3,van Barneveld R.,Vonck R.,0
Network 3,van Barneveld R.,Clegg M.,0
Network 3,Van der Voort V.,Ridd P.,0
Network 3,Van der Voort V.,Duo D.,0
Network 3,Van der Voort V.,Bezzeg N.,0
