tournament_year,stage,player1_name,player2_name
2018,FINAL,Cross R.,Taylor P.
2018,SEMI-FINALS,van Gerwen M.,Cross R.
2018,SEMI-FINALS,Lewis J.,Taylor P.
2018,QUARTER-FINALS,Taylor P.,Anderson G.
2018,QUARTER-FINALS,van Gerwen M.,van Barneveld R.
2018,QUARTER-FINALS,van den Bergh D.,Cross R.
2018,QUARTER-FINALS,Lewis J.,Webster D.
2018,1/8-FINALS,Anderson G.,West S.
2018,1/8-FINALS,Taylor P.,Brown K.
2018,1/8-FINALS,Lewis J.,Richardson J.
2018,1/8-FINALS,Henderson J.,Cross R.
2018,1/8-FINALS,Suljovic M.,van den Bergh D.
2018,1/8-FINALS,Alcinas T.,Webster D.
2018,1/8-FINALS,van Gerwen M.,Price G.
2018,1/8-FINALS,Van der Voort V.,van Barneveld R.
2018,1/16-FINALS,Wright P.,Lewis J.
2018,1/16-FINALS,Munch K.,Alcinas T.
2018,1/16-FINALS,Norris A.,Richardson J.
2018,1/16-FINALS,Whitlock S.,Webster D.
2018,1/16-FINALS,van Barneveld R.,Anderson K.
2018,1/16-FINALS,Taylor P.,Pipe J.
2018,1/16-FINALS,Gurney D.,Henderson J.
2018,1/16-FINALS,West S.,Wattimena J.
2018,1/16-FINALS,Smith M.,Cross R.
2018,1/16-FINALS,Brown K.,Lerchbacher Z.
2018,1/16-FINALS,van Gerwen M.,Wilson J.
2018,1/16-FINALS,Anderson G.,Lim P.
2018,1/16-FINALS,Suljovic M.,Thornton R.
2018,1/16-FINALS,Dekker J.,van den Bergh D.
2018,1/16-FINALS,Van der Voort V.,Beaton S.
2018,1/16-FINALS,Price G.,White I.
2018,1/32-FINALS,Wright P.,Portela D.
2018,1/32-FINALS,Webster D.,Petersen D.
2018,1/32-FINALS,Huybrechts K.,Richardson J.
2018,1/32-FINALS,Reyes C.,Alcinas T.
2018,1/32-FINALS,Pipe J.,Smith B.
2018,1/32-FINALS,Whitlock S.,Schindler M.
2018,1/32-FINALS,Smith M.,Lennon S.
2018,PRELIMINARY ROUND,Zong X. C.,Smith B.
2018,1/32-FINALS,Lewis A.,Munch K.
2018,1/32-FINALS,van Barneveld R.,North R.
2018,1/32-FINALS,Henderson J.,Kantele M.
2018,PRELIMINARY ROUND,Oreshkin A.,Munch K.
2018,1/32-FINALS,Webster M.,Lim P.
2018,1/32-FINALS,Gurney D.,Huybrechts R.
2018,1/32-FINALS,Suljovic M.,Painter K.
2018,PRELIMINARY ROUND,Leung K. F.,Lim P.
2018,1/32-FINALS,White I.,Harris C.
2018,1/32-FINALS,Chisnall D.,Van der Voort V.
2018,1/32-FINALS,Wade J.,Brown K.
2018,PRELIMINARY ROUND,Bruguier W.,Harris C.
2018,1/32-FINALS,Clayton J.,Lewis J.
2018,1/32-FINALS,Anderson K.,Jacques P.
2018,1/32-FINALS,Norris A.,Viljanen K.
2018,PRELIMINARY ROUND,Neyens K.,Lewis J.
2018,1/32-FINALS,Anderson G.,Smith J.
2018,1/32-FINALS,Klaasen J.,Dekker J.
2018,1/32-FINALS,Cullen J.,Wattimena J.
2018,PRELIMINARY ROUND,Smith J.,Humphries L.
2018,1/32-FINALS,Thornton R.,Dolan B.
2018,1/32-FINALS,King M.,Lerchbacher Z.
2018,1/32-FINALS,van de Pas B.,West S.
2018,PRELIMINARY ROUND,Ljubic A.,Dolan B.
2018,1/32-FINALS,Cross R.,Asada S.
2018,1/32-FINALS,Taylor P.,Dobey C.
2018,1/32-FINALS,Bunting S.,van den Bergh D.
2018,PRELIMINARY ROUND,Asada S.,Mathers G.
2018,1/32-FINALS,Price G.,Evetts T.
2018,1/32-FINALS,van Gerwen M.,Kist C.
2018,1/32-FINALS,Wilson J.,Ratajski K.
2018,1/32-FINALS,Beaton S.,O'Connor W.
