tournament_year,player1_name,player2_name,weight
Network 5,Smith M.,Wright P.,0
Network 5,Smith M.,Wade J.,0
Network 5,Smith M.,O'Connor W.,0
Network 5,Smith M.,Meulenkamp R.,1
Network 5,Smith M.,Lowe J.,0
Network 5,Smith M.,Woodhouse L.,0
Network 5,Smith M.,Aspinall N.,0
Network 5,Smith M.,Henderson J.,0
Network 5,Smith M.,Cross R.,0
Network 5,Smith M.,Lennon S.,0
Network 5,Wright P.,Anderson G.,0
Network 5,Wright P.,Rydz C.,0
Network 5,Wright P.,Searle R.,0
Network 5,Wright P.,Heta D.,0
Network 5,Wright P.,Meikle R.,0
Network 5,Wright P.,Clemens G.,0
Network 5,Wright P.,West S.,0
Network 5,Wright P.,Price G.,0
Network 5,Wright P.,de Zwaan J.,0
Network 5,Wright P.,Asada S.,0
Network 5,Wright P.,Malicdem N.,0
Network 5,Wright P.,Alcinas T.,0
Network 5,Wright P.,Lewis J.,0
Network 5,Wright P.,Portela D.,0
Network 5,Anderson G.,Cross R.,0
Network 5,Anderson G.,White I.,0
Network 5,Anderson G.,Lewis A.,0
Network 5,Anderson G.,Price G.,0
Network 5,Anderson G.,van Duijvenbode D.,0
Network 5,Anderson G.,Suljovic M.,0
Network 5,Anderson G.,Razma M.,0
Network 5,Anderson G.,Aspinall N.,0
Network 5,Anderson G.,Searle R.,0
Network 5,Anderson G.,Dolan B.,0
Network 5,Anderson G.,Chisnall D.,0
Network 5,Anderson G.,Dobey C.,0
Network 5,Anderson G.,Wattimena J.,0
Network 5,Anderson G.,Burness K.,0
Network 5,Anderson G.,West S.,0
Network 5,Anderson G.,Lim P.,0
Network 5,Anderson G.,Smith J.,0
Network 5,Wade J.,King M.,0
Network 5,Wade J.,Kleermaker M.,0
Network 5,Wade J.,Van der Voort V.,0
Network 5,Wade J.,Kuivenhoven M.,0
Network 5,Wade J.,Bunting S.,0
Network 5,Wade J.,Rydz C.,0
Network 5,Wade J.,Beaton S.,0
Network 5,Wade J.,Edhouse R.,0
Network 5,Wade J.,Brown K.,1
Network 5,Wade J.,Asada S.,0
Network 5,Price G.,Smith M.,0
Network 5,Price G.,van Duijvenbode D.,0
Network 5,Price G.,Huybrechts K.,0
Network 5,Price G.,Edhouse R.,0
Network 5,Price G.,Gurney D.,0
Network 5,Price G.,King M.,0
Network 5,Price G.,Dolan B.,0
Network 5,Price G.,Lewis J.,0
Network 5,Price G.,Whitlock S.,0
Network 5,Price G.,Henderson J.,0
Network 5,Price G.,O'Connor W.,0
Network 5,Price G.,Aspinall N.,0
Network 5,Price G.,White I.,0
Network 5,Price G.,Evetts T.,0
Network 5,Rydz C.,Yamada Y.,0
Network 5,Rydz C.,Bailey J.,0
Network 5,Humphries L.,Anderson G.,0
Network 5,Humphries L.,Rodriguez R.-J.,0
Network 5,Humphries L.,Lim P.,0
Network 5,Humphries L.,Wright P.,0
Network 5,Humphries L.,Petersen D.,0
Network 5,Humphries L.,Smith M.,0
Network 5,Humphries L.,Hunt A.,0
Network 5,King M.,Joyce R.,0
Network 5,King M.,Hopp M.,0
Network 5,King M.,Teehan C.,0
Network 5,King M.,Dekker J.,0
Network 5,King M.,Lerchbacher Z.,0
Network 5,Searle R.,Noppert D.,0
Network 5,Searle R.,Borland W.,0
Network 5,Searle R.,Lauby D. Jr.,0
Network 5,Searle R.,King R.,0
Network 5,Searle R.,Smith M.,0
Network 5,Searle R.,O'Connor W.,0
Network 5,Searle R.,Burton S.,0
Network 5,Cross R.,Gurney D.,0
Network 5,Cross R.,van Barneveld R.,0
Network 5,Cross R.,van Duijvenbode D.,0
Network 5,Cross R.,Huybrechts K.,0
Network 5,Cross R.,Humphries L.,0
Network 5,Cross R.,Reyes C.,0
Network 5,Cross R.,de Zwaan J.,0
Network 5,Cross R.,Taylor P.,0
Network 5,Cross R.,Asada S.,0
