tournament_year,stage,player1_name,player2_name
2019,FINAL,van Gerwen M.,Smith M.
2019,SEMI-FINALS,van Gerwen M.,Anderson G.
2019,SEMI-FINALS,Smith M.,Aspinall N.
2019,QUARTER-FINALS,van Gerwen M.,Joyce R.
2019,QUARTER-FINALS,Humphries L.,Smith M.
2019,QUARTER-FINALS,Anderson G.,Chisnall D.
2019,QUARTER-FINALS,Aspinall N.,Dolan B.
2019,1/8-FINALS,Cross R.,Humphries L.
2019,1/8-FINALS,Lewis J.,Chisnall D.
2019,1/8-FINALS,Searle R.,Smith M.
2019,1/8-FINALS,Joyce R.,Wade J.
2019,1/8-FINALS,van de Pas B.,Dolan B.
2019,1/8-FINALS,Aspinall N.,Petersen D.
2019,1/8-FINALS,van Gerwen M.,Lewis A.
2019,1/8-FINALS,Anderson G.,Dobey C.
2019,1/16-FINALS,Alcinas T.,van de Pas B.
2019,1/16-FINALS,Smith M.,Henderson J.
2019,1/16-FINALS,van den Bergh D.,Humphries L.
2019,1/16-FINALS,Petersen D.,West S.
2019,1/16-FINALS,Cross R.,Reyes C.
2019,1/16-FINALS,Aspinall N.,Anderson K.
2019,1/16-FINALS,Lewis A.,Labanauskas D.
2019,1/16-FINALS,Wade J.,Brown K.
2019,1/16-FINALS,Dolan B.,King M.
2019,1/16-FINALS,Van der Voort V.,Dobey C.
2019,1/16-FINALS,van Gerwen M.,Hopp M.
2019,1/16-FINALS,Anderson G.,Wattimena J.
2019,1/16-FINALS,Searle R.,O'Connor W.
2019,1/16-FINALS,Gurney D.,Lewis J.
2019,1/16-FINALS,Chisnall D.,Huybrechts K.
2019,1/16-FINALS,Joyce R.,Norris A.
2019,1/32-FINALS,Clayton J.,van den Bergh D.
2019,1/32-FINALS,Price G.,Aspinall N.
2019,1/32-FINALS,Klaasen J.,Brown K.
2019,1/32-FINALS,White I.,Petersen D.
2019,1/32-FINALS,Anderson K.,Malicdem N.
2019,1/32-FINALS,West S.,North R.
2019,1/32-FINALS,Henderson J.,Clemens G.
2019,1/32-FINALS,van de Pas B.,Long J.
2019,1/32-FINALS,Suljovic M.,Searle R.
2019,1/32-FINALS,Lewis A.,Evetts T.
2019,1/32-FINALS,King M.,Dekker J.
2019,1/32-FINALS,Reyes C.,Rodriguez R.-J.
2019,1/32-FINALS,Beaton S.,Dobey C.
2019,1/32-FINALS,Bunting S.,Humphries L.
2019,1/32-FINALS,Norris A.,Lennon S.
2019,1/32-FINALS,Wattimena J.,Barnard M.
2019,1/32-FINALS,Wade J.,Asada S.
2019,1/32-FINALS,Smith M.,Meulenkamp R.
2019,1/32-FINALS,Whitlock S.,Joyce R.
2019,1/32-FINALS,Wilson J.,O'Connor W.
2019,1/32-FINALS,Huybrechts K.,Larsson D.
2019,1/32-FINALS,Cullen J.,Dolan B.
2019,PRELIMINARY ROUND,de Graaf J.,Malicdem N.
2019,PRELIMINARY ROUND,Aspinall N.,Nentjes G.
2019,1/32-FINALS,Gurney D.,Smith R.
2019,PRELIMINARY ROUND,van den Bergh D.,Puleo C.
2019,PRELIMINARY ROUND,Meulenkamp R.,Portela D.
2019,PRELIMINARY ROUND,Lennon S.,Bailey J.
2019,1/32-FINALS,Webster D.,Van der Voort V.
2019,PRELIMINARY ROUND,Ratajski K.,Asada S.
2019,PRELIMINARY ROUND,Evans R.,Rodriguez R.-J.
2019,PRELIMINARY ROUND,Thornton R.,Larsson D.
2019,1/32-FINALS,van Barneveld R.,Labanauskas D.
2019,PRELIMINARY ROUND,Joyce R.,Dobromyslova A.
2019,PRELIMINARY ROUND,Jones W.,Petersen D.
2019,PRELIMINARY ROUND,Van der Voort V.,Ilagan L.
2019,1/32-FINALS,Wright P.,Alcinas T.
2019,PRELIMINARY ROUND,Smith R.,Lim P.
2019,PRELIMINARY ROUND,Edgar M.,Labanauskas D.
2019,PRELIMINARY ROUND,Humphries L.,Hunt A.
2019,1/32-FINALS,Chisnall D.,Payne J.
2019,PRELIMINARY ROUND,Dolan B.,Liu Y.
2019,PRELIMINARY ROUND,O'Connor W.,Meeuwisse Y.
2019,PRELIMINARY ROUND,Clemens G.,Kirk A.
2019,1/32-FINALS,van Gerwen M.,Tabern A.
2019,PRELIMINARY ROUND,Brown K.,Sedlacek K.
2019,PRELIMINARY ROUND,Searle R.,Burton S.
2019,PRELIMINARY ROUND,Alcinas T.,Ross C.
2019,1/32-FINALS,Hopp M.,Noppert D.
2019,PRELIMINARY ROUND,Payne J.,Smith J.
2019,PRELIMINARY ROUND,Mansell M.,Long J.
2019,PRELIMINARY ROUND,North R.,Marijanovic R.
2019,1/32-FINALS,Anderson G.,Burness K.
2019,PRELIMINARY ROUND,Dobey C.,Koltsov B.
2019,PRELIMINARY ROUND,Stevenson S.,Evetts T.
2019,PRELIMINARY ROUND,Noppert D.,Lam R.
2019,1/32-FINALS,Lewis J.,Harris C.
2019,PRELIMINARY ROUND,Nicholson P.,Burness K.
2019,PRELIMINARY ROUND,Tabern A.,Smith R.
2019,PRELIMINARY ROUND,Barnard M.,de Sousa J.
2019,1/32-FINALS,Cross R.,de Zwaan J.
2019,PRELIMINARY ROUND,Dekker J.,Ashton L.
2019,PRELIMINARY ROUND,Schindler M.,Harris C.
2019,PRELIMINARY ROUND,de Zwaan J.,Kumar N.
