tournament_year,stage,player1_name,player2_name
1996,FINAL,Taylor P.,Priestley D.
1996,SEMI-FINALS,Harvey J.,Priestley D.
1996,SEMI-FINALS,Taylor P.,Lowe J.
1996,QUARTER-FINALS,Butler L.,Harvey J.
1996,QUARTER-FINALS,Evison P.,Lowe J.
1996,QUARTER-FINALS,Taylor P.,Deller K.
1996,QUARTER-FINALS,Warriner-Little A.,Priestley D.
1996,QUARTER-FINALS,Bristow E.,Gardner R.
1996,QUARTER-FINALS,Brown S.,Stoddart G.
1996,QUARTER-FINALS,Brown S.,Warriner-Little A.
1996,QUARTER-FINALS,Burgess S.,Lazarenko C.
1996,QUARTER-FINALS,Butler L.,Justice N.
1996,QUARTER-FINALS,Downs S.,Deller K.
1996,QUARTER-FINALS,Evison P.,Mawson G.
1996,QUARTER-FINALS,Evison P.,Raw S.
1996,QUARTER-FINALS,Harrington R.,Butler L.
1996,QUARTER-FINALS,Harrington R.,Justice N.
1996,QUARTER-FINALS,Harvey J.,Anderson B.
1996,QUARTER-FINALS,Harvey J.,Verrier G.
1996,QUARTER-FINALS,Lowe J.,Kirby T.
1996,QUARTER-FINALS,Lowe J.,Smith D.
1996,QUARTER-FINALS,Priestley D.,Bristow E.
1996,QUARTER-FINALS,Priestley D.,Gardner R.
1996,QUARTER-FINALS,Raw S.,Mawson G.
1996,QUARTER-FINALS,Smith D.,Kirby T.
1996,QUARTER-FINALS,Spiolek K.,Deller K.
1996,QUARTER-FINALS,Spiolek K.,Downs S.
1996,QUARTER-FINALS,Taylor P.,Burgess S.
1996,QUARTER-FINALS,Taylor P.,Lazarenko C.
1996,QUARTER-FINALS,Verrier G.,Anderson B.
1996,QUARTER-FINALS,Warriner-Little A.,Stoddart G.
