tournament_year,stage,player1_name,player2_name
2004,FINAL,Taylor P.,Painter K.
2004,SEMI-FINALS,Anderson B.,Painter K.
2004,SEMI-FINALS,Taylor P.,Mardle W.
2004,QUARTER-FINALS,Manley P.,Anderson B.
2004,QUARTER-FINALS,Mardle W.,Whatley S.
2004,QUARTER-FINALS,Painter K.,Dudbridge M.
2004,QUARTER-FINALS,Taylor P.,Warriner-Little A.
2004,1/8-FINALS,Anderson B.,Smith D.
2004,1/8-FINALS,Baxter R.,Painter K.
2004,1/8-FINALS,Beaton S.,Dudbridge M.
2004,1/8-FINALS,Lloyd C.,Mardle W.
2004,1/8-FINALS,Manley P.,Deller K.
2004,1/8-FINALS,Taylor P.,Priestley D.
2004,1/8-FINALS,Warriner-Little A.,Roy A.
2004,1/8-FINALS,Whatley S.,Sams L.
2004,1/16-FINALS,Ovens D.,Roy A.
2004,1/16-FINALS,Warriner-Little A.,Lowe J.
2004,1/16-FINALS,Burnett R.,Whatley S.
2004,1/16-FINALS,Harvey J.,Beaton S.
2004,1/16-FINALS,Lloyd C.,Evison P.
2004,1/16-FINALS,Mardle W.,Maish S.
2004,1/16-FINALS,Priestley D.,Buckle R.
2004,1/16-FINALS,Scholten R.,Sams L.
2004,1/16-FINALS,Taylor P.,McGarry C.
2004,1/16-FINALS,Askew D.,Deller K.
2004,1/16-FINALS,Baxter R.,Clarys E.
2004,1/16-FINALS,Jenkins A.,Anderson B.
2004,1/16-FINALS,Manley P.,Atwood W.
2004,1/16-FINALS,Painter K.,Williams P.
2004,1/16-FINALS,Part J.,Dudbridge M.
2004,1/16-FINALS,Smith D.,Fitton L.
2004,FINAL,Atwood W.,Manning M.
2004,FINAL,Buckle R.,Brown S.
2004,FINAL,Clarys E.,Walsh M.
2004,FINAL,MacKay A.,Sams L.
2004,FINAL,Maish S.,Lazarenko C.
2004,FINAL,McGarry C.,Holden M.
2004,FINAL,Smith S.,Dudbridge M.
2004,FINAL,Widdows R.,Whatley S.
2004,SEMI-FINALS,Atwood W.,Sano T.
2004,SEMI-FINALS,Buckle R.,Van der Rassel J.
2004,SEMI-FINALS,Clarys E.,Lauby D. Sr.
2004,SEMI-FINALS,MacKay A.,Jouannet B.
2004,SEMI-FINALS,Maish S.,Payne T.
2004,SEMI-FINALS,McGarry C.,Orvis R.
2004,SEMI-FINALS,Smith S.,Madhoo N.
2004,SEMI-FINALS,Widdows R.,O'Neill H.
