tournament_year,stage,player1_name,player2_name
2005,FINAL,Dudbridge M.,Taylor P.
2005,SEMI-FINALS,Mardle W.,Dudbridge M.
2005,SEMI-FINALS,Taylor P.,Anderson B.
2005,QUARTER-FINALS,Anderson B.,Hamilton A.
2005,QUARTER-FINALS,Lloyd C.,Mardle W.
2005,QUARTER-FINALS,Ovens D.,Dudbridge M.
2005,QUARTER-FINALS,Taylor P.,Painter K.
2005,1/8-FINALS,Baxter R.,Anderson B.
2005,1/8-FINALS,Painter K.,Jenkins A.
2005,1/8-FINALS,Schenk J.,Hamilton A.
2005,1/16-FINALS,Baxter R.,Jenkins T.
2005,1/16-FINALS,Beaton S.,Hamilton A.
2005,1/8-FINALS,Lloyd C.,Mason C.
2005,1/8-FINALS,Mardle W.,Williams P.
2005,1/8-FINALS,Part J.,Dudbridge M.
2005,1/8-FINALS,Scholten R.,Ovens D.
2005,1/8-FINALS,Taylor P.,Priestley D.
2005,1/16-FINALS,Askew D.,Mason C.
2005,1/16-FINALS,Jenkins A.,Evison P.
2005,1/16-FINALS,Manley P.,Schenk J.
2005,1/16-FINALS,Painter K.,Jones W.
2005,1/16-FINALS,Priestley D.,Sams L.
2005,1/16-FINALS,Smith D.,Anderson B.
2005,1/16-FINALS,Taylor P.,Roy A.
2005,1/16-FINALS,Dudbridge M.,Burnett R.
2005,1/16-FINALS,Lloyd C.,Verwey J.
2005,1/16-FINALS,Mardle W.,Walsh M.
2005,1/16-FINALS,Ovens D.,Holden M.
2005,1/16-FINALS,Part J.,Convery G.
2005,1/16-FINALS,Scholten R.,Harvey J.
2005,1/16-FINALS,Warriner-Little A.,Williams P.
2005,FINAL,Caves A.,Schenk J.
2005,FINAL,Deller K.,Jones W.
2005,FINAL,Evison P.,Landers M.
2005,SEMI-FINALS,Jouannet B.,Jones W.
2005,FINAL,Lowe J.,Verwey J.
2005,FINAL,Manning M.,Hamilton A.
2005,FINAL,Mason C.,Clark J.
2005,FINAL,Newton W.,Convery G.
2005,FINAL,Whatley S.,Holden M.
2005,SEMI-FINALS,Clark J.,Matsunaga Y.
2005,SEMI-FINALS,Holden M.,Wade J.
2005,SEMI-FINALS,Jun T.,Convery G.
2005,SEMI-FINALS,Landers M.,Reynolds A.
2005,SEMI-FINALS,Thomson M.,Hamilton A.
2005,SEMI-FINALS,Verwey J.,Forde A.
2005,SEMI-FINALS,Young D.,Schenk J.
2004,FINAL,Taylor P.,Painter K.
2004,SEMI-FINALS,Anderson B.,Painter K.
2004,SEMI-FINALS,Taylor P.,Mardle W.
2004,QUARTER-FINALS,Manley P.,Anderson B.
2004,QUARTER-FINALS,Mardle W.,Whatley S.
2004,QUARTER-FINALS,Painter K.,Dudbridge M.
2004,QUARTER-FINALS,Taylor P.,Warriner-Little A.
2004,1/8-FINALS,Anderson B.,Smith D.
2004,1/8-FINALS,Baxter R.,Painter K.
2004,1/8-FINALS,Beaton S.,Dudbridge M.
2004,1/8-FINALS,Lloyd C.,Mardle W.
2004,1/8-FINALS,Manley P.,Deller K.
2004,1/8-FINALS,Taylor P.,Priestley D.
2004,1/8-FINALS,Warriner-Little A.,Roy A.
2004,1/8-FINALS,Whatley S.,Sams L.
2004,1/16-FINALS,Ovens D.,Roy A.
2004,1/16-FINALS,Warriner-Little A.,Lowe J.
2004,1/16-FINALS,Burnett R.,Whatley S.
2004,1/16-FINALS,Harvey J.,Beaton S.
2004,1/16-FINALS,Lloyd C.,Evison P.
2004,1/16-FINALS,Mardle W.,Maish S.
2004,1/16-FINALS,Priestley D.,Buckle R.
2004,1/16-FINALS,Scholten R.,Sams L.
2004,1/16-FINALS,Taylor P.,McGarry C.
2004,1/16-FINALS,Askew D.,Deller K.
2004,1/16-FINALS,Baxter R.,Clarys E.
2004,1/16-FINALS,Jenkins A.,Anderson B.
2004,1/16-FINALS,Manley P.,Atwood W.
2004,1/16-FINALS,Painter K.,Williams P.
2004,1/16-FINALS,Part J.,Dudbridge M.
2004,1/16-FINALS,Smith D.,Fitton L.
2004,FINAL,Atwood W.,Manning M.
2004,FINAL,Buckle R.,Brown S.
2004,FINAL,Clarys E.,Walsh M.
2004,FINAL,MacKay A.,Sams L.
2004,FINAL,Maish S.,Lazarenko C.
2004,FINAL,McGarry C.,Holden M.
2004,FINAL,Smith S.,Dudbridge M.
2004,FINAL,Widdows R.,Whatley S.
2004,SEMI-FINALS,Atwood W.,Sano T.
2004,SEMI-FINALS,Buckle R.,Van der Rassel J.
2004,SEMI-FINALS,Clarys E.,Lauby D. Sr.
2004,SEMI-FINALS,MacKay A.,Jouannet B.
2004,SEMI-FINALS,Maish S.,Payne T.
2004,SEMI-FINALS,McGarry C.,Orvis R.
2004,SEMI-FINALS,Smith S.,Madhoo N.
2004,SEMI-FINALS,Widdows R.,O'Neill H.
2003,FINAL,Taylor P.,Part J.
2003,SEMI-FINALS,Painter K.,Part J.
2003,SEMI-FINALS,Taylor P.,Warriner-Little A.
2003,QUARTER-FINALS,Mason C.,Part J.
2003,QUARTER-FINALS,Painter K.,Burnett R.
2003,QUARTER-FINALS,Scholten R.,Warriner-Little A.
2003,QUARTER-FINALS,Taylor P.,Smith D.
2003,1/8-FINALS,Baxter R.,Painter K.
