tournament_year,stage,player1_name,player2_name
2015,FINAL,Anderson G.,Taylor P.
2015,SEMI-FINALS,Taylor P.,van Barneveld R.
2015,SEMI-FINALS,van Gerwen M.,Anderson G.
2015,QUARTER-FINALS,Bunting S.,van Barneveld R.
2015,QUARTER-FINALS,Taylor P.,Van der Voort V.
2015,QUARTER-FINALS,Wright P.,Anderson G.
2015,QUARTER-FINALS,van Gerwen M.,Thornton R.
2015,1/8-FINALS,Bunting S.,Smith M.
2015,1/8-FINALS,Taylor P.,Huybrechts K.
2015,1/8-FINALS,Lewis A.,van Barneveld R.
2015,1/8-FINALS,Winstanley D.,Van der Voort V.
2015,1/8-FINALS,Anderson G.,Reyes C.
2015,1/8-FINALS,Wright P.,Hamilton A.
2015,1/8-FINALS,van de Pas B.,Thornton R.
2015,1/8-FINALS,van Gerwen M.,Jenkins T.
2015,1/16-FINALS,Wade J.,Bunting S.
2015,1/16-FINALS,van Barneveld R.,Caven J.
2015,1/16-FINALS,Hopp M.,Van der Voort V.
2015,1/16-FINALS,Dolan B.,Smith M.
2015,1/16-FINALS,Lewis A.,Brown K.
2015,1/16-FINALS,Taylor P.,Webster M.
2015,1/16-FINALS,Webster D.,Winstanley D.
2015,1/16-FINALS,White I.,Huybrechts K.
2015,1/16-FINALS,Reyes C.,Painter K.
2015,1/16-FINALS,Hamilton A.,Anderson K.
2015,1/16-FINALS,Anderson G.,Klaasen J.
2015,1/16-FINALS,van Gerwen M.,Stein S.
2015,1/16-FINALS,Chisnall D.,van de Pas B.
2015,1/16-FINALS,Wright P.,Huybrechts R.
2015,1/16-FINALS,Jenkins T.,Ryder L.
2015,1/16-FINALS,Thornton R.,Baxter R.
2015,1/32-FINALS,Bunting S.,Marijanovic R.
2015,1/32-FINALS,Lewis A.,Pallett D.
2015,1/32-FINALS,King M.,Hopp M.
2015,FINAL,Wattimena J.,Marijanovic R.
2015,1/32-FINALS,Van der Voort V.,Henderson J.
2015,1/32-FINALS,Dolan B.,Arendse N.
2015,1/32-FINALS,van Barneveld R.,Rodriguez R.-J.
2015,1/32-FINALS,Smith M.,Suljovic M.
2015,FINAL,Arendse N.,Hon A.
2015,1/32-FINALS,Caven J.,Hogg J.
2015,1/32-FINALS,White I.,Michael J.
2015,1/32-FINALS,Wade J.,Lewis J.
2015,1/32-FINALS,Chisnall D.,de Vreede R.
2015,FINAL,Haavisto J.,Michael J.
2015,1/32-FINALS,Huybrechts K.,Mansell M.
2015,1/32-FINALS,Painter K.,Koltsov B.
2015,1/32-FINALS,Winstanley D.,Jones W.
2015,1/32-FINALS,Webster M.,Meulenkamp R.
2015,FINAL,Koltsov B.,Muramatsu H.
2015,1/32-FINALS,Nicholson P.,van de Pas B.
2015,1/32-FINALS,Anderson G.,Kirchner S.
2015,1/32-FINALS,Whitlock S.,Webster D.
2015,1/32-FINALS,Jenkins T.,Weber J.
2015,FINAL,McGrath M.,Kirchner S.
2015,1/32-FINALS,Beaton S.,Anderson K.
2015,1/32-FINALS,Baxter R.,Gurney D.
2015,1/32-FINALS,Thornton R.,Gilding A.
2015,1/32-FINALS,Pipe J.,Ryder L.
2015,FINAL,MacKenzie S.,Gurney D.
2015,1/32-FINALS,Smith A.,Huybrechts R.
2015,1/32-FINALS,Kellett S.,Stein S.
2015,1/32-FINALS,Taylor P.,Artut J.
2015,1/32-FINALS,Wright P.,Price G.
2015,FINAL,Viljanen K.,Stein S.
2015,1/32-FINALS,Hamilton A.,Richardson D.
2015,1/32-FINALS,Newton W.,Reyes C.
2015,1/32-FINALS,van Gerwen M.,Cullen J.
2015,1/32-FINALS,Klaasen J.,Kist C.
2015,FINAL,Perez C.,Reyes C.
2015,1/32-FINALS,Part J.,Brown K.
