tournament_year,player1_name,player2_name,weight
Network 4_extract,van Gerwen M.,Anderson G.,1
Network 4_extract,van Gerwen M.,van Barneveld R.,1
Network 4_extract,van Gerwen M.,Gurney D.,1
Network 4_extract,van Gerwen M.,Webster D.,1
Network 4_extract,van Gerwen M.,Reyes C.,1
Network 4_extract,van Gerwen M.,Viljanen K.,1
Network 4_extract,van Gerwen M.,Eidams R.,1
Network 4_extract,van Gerwen M.,Thornton R.,1
Network 4_extract,van Gerwen M.,Jenkins T.,1
Network 4_extract,van Gerwen M.,Stein S.,1
Network 4_extract,van Gerwen M.,Cullen J.,1
Network 4_extract,van Gerwen M.,Lewis A.,1
Network 4_extract,van Gerwen M.,Webster M.,1
Network 4_extract,van Gerwen M.,McDine K.,1
Network 4_extract,van Gerwen M.,Lerchbacher Z.,1
Network 4_extract,van Gerwen M.,Wade J.,1
Network 4_extract,van Gerwen M.,Lloyd C.,1
Network 4_extract,van Gerwen M.,Wright P.,1
Network 4_extract,van Gerwen M.,Lim P.,1
Network 4_extract,Anderson G.,Wright P.,1
Network 4_extract,Anderson G.,Chisnall D.,1
Network 4_extract,Anderson G.,van de Pas B.,1
Network 4_extract,Anderson G.,Gilding A.,1
Network 4_extract,Anderson G.,Frost M.,1
Network 4_extract,Anderson G.,Klaasen J.,1
Network 4_extract,Anderson G.,Wade J.,1
Network 4_extract,Anderson G.,Van der Voort V.,1
Network 4_extract,Anderson G.,Gurney D.,1
Network 4_extract,Anderson G.,Boulton A.,1
Network 4_extract,Anderson G.,Taylor P.,1
Network 4_extract,Anderson G.,Reyes C.,1
Network 4_extract,Anderson G.,Kirchner S.,1
Network 4_extract,Anderson G.,Dudbridge M.,1
Network 4_extract,Anderson G.,van Barneveld R.,1
Network 4_extract,Anderson G.,Bowles J.,1
Network 4_extract,Anderson G.,Haavisto J.,1
Network 4_extract,Anderson G.,Lloyd C.,1
Network 4_extract,Anderson G.,Petersen D.,1
Network 4_extract,Anderson G.,Artut J.,1
Network 4_extract,van Barneveld R.,Taylor P.,1
Network 4_extract,van Barneveld R.,Norris A.,1
Network 4_extract,van Barneveld R.,Green R.,1
Network 4_extract,van Barneveld R.,Lewis A.,1
Network 4_extract,van Barneveld R.,Smith M.,1
Network 4_extract,van Barneveld R.,Bunting S.,1
Network 4_extract,van Barneveld R.,van Duijvenbode D.,1
Network 4_extract,van Barneveld R.,Caven J.,1
Network 4_extract,van Barneveld R.,Rodriguez R.-J.,1
Network 4_extract,van Barneveld R.,Lewis J.,1
Network 4_extract,van Barneveld R.,Dolan B.,1
Network 4_extract,van Barneveld R.,Richardson J.,1
Network 4_extract,Gurney D.,Wattimena J.,1
Network 4_extract,Gurney D.,Marijanovic R.,1
Network 4_extract,Webster D.,Whitlock S.,1
Network 4_extract,Webster D.,Winstanley D.,1
Network 4_extract,Reyes C.,van den Bergh D.,1
Network 4_extract,Reyes C.,Painter K.,1
Network 4_extract,Viljanen K.,Groen S.,1
Network 4_extract,Viljanen K.,Stein S.,1
Network 4_extract,Thornton R.,Gurney D.,1
Network 4_extract,Thornton R.,Lerchbacher Z.,1
Network 4_extract,Thornton R.,Norris A.,1
Network 4_extract,Thornton R.,Baxter R.,1
Network 4_extract,Thornton R.,Gilding A.,1
Network 4_extract,Thornton R.,Anderson B.,1
Network 4_extract,Thornton R.,Hopp M.,1
Network 4_extract,Thornton R.,Caris M.,1
Network 4_extract,Thornton R.,White I.,1
Network 4_extract,Jenkins T.,Payne J.,1
Network 4_extract,Jenkins T.,Webster M.,1
Network 4_extract,Jenkins T.,Young D.,1
