tournament_year,stage,player1_name,player2_name
2020,FINAL,van Gerwen M.,Wright P.
2020,SEMI-FINALS,van Gerwen M.,Aspinall N.
2020,SEMI-FINALS,Wright P.,Price G.
2020,QUARTER-FINALS,Durrant G.,Price G.
2020,QUARTER-FINALS,van Gerwen M.,Labanauskas D.
2020,QUARTER-FINALS,Humphries L.,Wright P.
2020,QUARTER-FINALS,Aspinall N.,van den Bergh D.
2020,1/8-FINALS,Price G.,Whitlock S.
2020,1/8-FINALS,Durrant G.,Dobey C.
2020,1/8-FINALS,Wright P.,de Zwaan J.
2020,1/8-FINALS,van den Bergh D.,Lewis A.
2020,1/8-FINALS,Huybrechts K.,Humphries L.
2020,1/8-FINALS,Beaton S.,Labanauskas D.
2020,1/8-FINALS,van Gerwen M.,Bunting S.
2020,1/8-FINALS,Anderson G.,Aspinall N.
2020,1/16-FINALS,Price G.,Henderson J.
2020,1/16-FINALS,Sherrock F.,Dobey C.
2020,1/16-FINALS,Gurney D.,Durrant G.
2020,1/16-FINALS,Whitlock S.,King M.
2020,1/16-FINALS,Wright P.,Asada S.
2020,1/16-FINALS,Anderson G.,Searle R.
2020,1/16-FINALS,Chisnall D.,de Zwaan J.
2020,1/16-FINALS,Woodhouse L.,van den Bergh D.
2020,1/16-FINALS,Lewis A.,Webster D.
2020,1/16-FINALS,Kurz N.,Humphries L.
2020,1/16-FINALS,van Gerwen M.,Evans R.
2020,1/16-FINALS,Huybrechts K.,Noppert D.
2020,1/16-FINALS,Wade J.,Beaton S.
2020,1/16-FINALS,Aspinall N.,Ratajski K.
2020,1/16-FINALS,Labanauskas D.,Hopp M.
2020,1/16-FINALS,Clayton J.,Bunting S.
2020,1/32-FINALS,van den Bergh D.,Payne J.
2020,1/32-FINALS,Suljovic M.,Sherrock F.
2020,1/32-FINALS,Durrant G.,Heta D.
2020,1/32-FINALS,Gurney D.,Pipe J.
2020,1/32-FINALS,Lewis A.,Reyes C.
2020,1/32-FINALS,West S.,Searle R.
2020,1/32-FINALS,Whitlock S.,Ward H.
2020,1/32-FINALS,Brown K.,Asada S.
2020,1/32-FINALS,Wright P.,Malicdem N.
2020,1/32-FINALS,Hopp M.,van de Pas B.
2020,1/32-FINALS,Cullen J.,Kurz N.
2020,1/32-FINALS,Aspinall N.,Baggish D.
2020,1/32-FINALS,Evans R.,McGeeney M.
2020,1/32-FINALS,Clayton J.,Dekker J.
2020,1/32-FINALS,King M.,Teehan C.
2020,1/32-FINALS,Webster D.,Yamada Y.
2020,1/32-FINALS,Price G.,O'Connor W.
2020,1/32-FINALS,Chisnall D.,Van der Voort V.
2020,1/32-FINALS,Noppert D.,Rydz C.
2020,1/32-FINALS,Dobey C.,Meulenkamp R.
2020,1/32-FINALS,Beaton S.,Anderson K.
2020,1/32-FINALS,Henderson J.,Richardson J.
2020,PRELIMINARY ROUND,Joyce R.,Dekker J.
2020,PRELIMINARY ROUND,Pipe J.,Pratnemer B.
2020,1/32-FINALS,Wade J.,Edhouse R.
2020,PRELIMINARY ROUND,Clemens G.,van de Pas B.
2020,PRELIMINARY ROUND,Payne J.,Portela D.
2020,PRELIMINARY ROUND,Wilson J.,Kurz N.
2020,1/32-FINALS,Bunting S.,Justicia J.
2020,PRELIMINARY ROUND,Ward H.,Razma M.
2020,PRELIMINARY ROUND,Mansell M.,Asada S.
2020,PRELIMINARY ROUND,Meulenkamp R.,Robb B.
2020,1/32-FINALS,de Zwaan J.,Young D.
2020,PRELIMINARY ROUND,Evetts T.,Sherrock F.
2020,PRELIMINARY ROUND,de Sousa J.,Heta D.
2020,PRELIMINARY ROUND,Edhouse R.,Koltsov B.
2020,1/32-FINALS,Ratajski K.,Lerchbacher Z.
2020,PRELIMINARY ROUND,Rodriguez R.-J.,Malicdem N.
2020,PRELIMINARY ROUND,Reyes C.,Ilagan L.
2020,PRELIMINARY ROUND,Searle R.,King R.
2020,1/32-FINALS,Anderson G.,Dolan B.
2020,PRELIMINARY ROUND,Van der Voort V.,Barry K.
2020,PRELIMINARY ROUND,O'Connor W.,Kantele M.
2020,PRELIMINARY ROUND,Lennon S.,Rydz C.
2020,1/32-FINALS,Smith M.,Woodhouse L.
2020,PRELIMINARY ROUND,Richardson J.,Suzuki M.
2020,PRELIMINARY ROUND,Boulton A.,Baggish D.
2020,PRELIMINARY ROUND,Monk A.,Justicia J.
2020,1/32-FINALS,White I.,Labanauskas D.
2020,PRELIMINARY ROUND,Dolan B.,Kumar N.
2020,PRELIMINARY ROUND,Smith R.,Teehan C.
2020,PRELIMINARY ROUND,Anderson K.,Zong X. C.
2020,1/32-FINALS,Cross R.,Huybrechts K.
2020,PRELIMINARY ROUND,van Barneveld R.,Young D.
2020,PRELIMINARY ROUND,Hughes J.,Lerchbacher Z.
2020,PRELIMINARY ROUND,McGeeney M.,Campbell M.
2020,1/32-FINALS,Wattimena J.,Humphries L.
2020,PRELIMINARY ROUND,Woodhouse L.,Lim P.
2020,PRELIMINARY ROUND,Meikle R.,Yamada Y.
2020,PRELIMINARY ROUND,Labanauskas D.,Edgar M.
2020,1/32-FINALS,van Gerwen M.,Klaasen J.
2020,PRELIMINARY ROUND,Humphries L.,Petersen D.
2020,PRELIMINARY ROUND,Huybrechts K.,Nentjes G.
2020,PRELIMINARY ROUND,Klaasen J.,Burness K.
