tournament_year,stage,player1_name,player2_name
1994,FINAL,Priestley D.,Taylor P.
1994,3RD PLACE,Evison P.,Brown S.
1994,SEMI-FINALS,Priestley D.,Evison P.
1994,SEMI-FINALS,Taylor P.,Brown S.
1994,QUARTER-FINALS,Anderson B.,Taylor P.
1994,QUARTER-FINALS,Brown S.,Warriner-Little A.
1994,QUARTER-FINALS,Harrington R.,Evison P.
1994,QUARTER-FINALS,Priestley D.,Kirby T.
1994,QUARTER-FINALS,Anderson B.,Kelly D.
1994,QUARTER-FINALS,Evison P.,Burrows K.
1994,QUARTER-FINALS,Harrington R.,Downs S.
1994,QUARTER-FINALS,Lowe J.,Butler L.
1994,QUARTER-FINALS,Priestley D.,Stoddart G.
1994,QUARTER-FINALS,Spiolek K.,Brown S.
1994,QUARTER-FINALS,Taylor P.,Watkins J.
1994,QUARTER-FINALS,Warriner-Little A.,Lazarenko C.
1994,QUARTER-FINALS,Bristow E.,Downs S.
1994,QUARTER-FINALS,Brown S.,Deller K.
1994,QUARTER-FINALS,Burrows K.,Umberger J.
1994,QUARTER-FINALS,Butler L.,Kirby T.
1994,QUARTER-FINALS,Gardner R.,Lazarenko C.
1994,QUARTER-FINALS,Harvey J.,Watkins J.
1994,QUARTER-FINALS,Kelly D.,Verrier G.
1994,QUARTER-FINALS,Stoddart G.,Wilson J.
1994,QUARTER-FINALS,Anderson B.,Verrier G.
1994,QUARTER-FINALS,Evison P.,Umberger J.
1994,QUARTER-FINALS,Harrington R.,Bristow E.
1994,QUARTER-FINALS,Lowe J.,Kirby T.
1994,QUARTER-FINALS,Priestley D.,Wilson J.
1994,QUARTER-FINALS,Spiolek K.,Deller K.
1994,QUARTER-FINALS,Taylor P.,Harvey J.
1994,QUARTER-FINALS,Warriner-Little A.,Gardner R.
