tournament_year,stage,player1_name,player2_name
1998,FINAL,Taylor P.,Priestley D.
1998,3RD PLACE,Harrington R.,Deller K.
1998,SEMI-FINALS,Priestley D.,Deller K.
1998,SEMI-FINALS,Taylor P.,Harrington R.
1998,QUARTER-FINALS,Deller K.,Robinson H.
1998,QUARTER-FINALS,Harrington R.,Evison P.
1998,QUARTER-FINALS,Priestley D.,Manley P.
1998,QUARTER-FINALS,Taylor P.,Burgess S.
1998,QUARTER-FINALS,Anderson B.,Verrier G.
1998,QUARTER-FINALS,Bristow E.,Raw S.
1998,QUARTER-FINALS,Brown S.,Robinson H.
1998,QUARTER-FINALS,Burgess S.,Anderson B.
1998,QUARTER-FINALS,Burgess S.,Verrier G.
1998,QUARTER-FINALS,Deller K.,Manning M.
1998,QUARTER-FINALS,Deller K.,Stoddart G.
1998,QUARTER-FINALS,Evison P.,Lim P.
1998,QUARTER-FINALS,Evison P.,Part J.
1998,QUARTER-FINALS,Harrington R.,Ferrell J.
1998,QUARTER-FINALS,Harrington R.,Harvey J.
1998,QUARTER-FINALS,Harvey J.,Ferrell J.
1998,QUARTER-FINALS,Lim P.,Part J.
1998,QUARTER-FINALS,Manley P.,Lowe J.
1998,QUARTER-FINALS,Manley P.,Mawson G.
1998,QUARTER-FINALS,Manning M.,Stoddart G.
1998,QUARTER-FINALS,Mawson G.,Lowe J.
1998,QUARTER-FINALS,Priestley D.,Bristow E.
1998,QUARTER-FINALS,Priestley D.,Raw S.
1998,QUARTER-FINALS,Smith D.,Spiolek K.
1998,QUARTER-FINALS,Taylor P.,Smith D.
1998,QUARTER-FINALS,Taylor P.,Spiolek K.
1998,QUARTER-FINALS,Warriner-Little A.,Brown S.
1998,QUARTER-FINALS,Warriner-Little A.,Robinson H.
