tournament_year,stage,player1_name,player2_name
2016,FINAL,Lewis A.,Anderson G.
2016,SEMI-FINALS,Anderson G.,Klaasen J.
2016,SEMI-FINALS,van Barneveld R.,Lewis A.
2016,QUARTER-FINALS,Lewis A.,Wright P.
2016,QUARTER-FINALS,van Barneveld R.,Smith M.
2016,QUARTER-FINALS,Anderson G.,Wade J.
2016,QUARTER-FINALS,Norris A.,Klaasen J.
2016,1/8-FINALS,Taylor P.,Klaasen J.
2016,1/8-FINALS,Norris A.,Webster M.
2016,1/8-FINALS,Wright P.,Chisnall D.
2016,1/8-FINALS,van Gerwen M.,van Barneveld R.
2016,1/8-FINALS,Anderson G.,Van der Voort V.
2016,1/8-FINALS,Lewis A.,Suljovic M.
2016,1/8-FINALS,Wade J.,Caven J.
2016,1/8-FINALS,Smith M.,van de Pas B.
2016,1/16-FINALS,King M.,Klaasen J.
2016,1/16-FINALS,Taylor P.,Painter K.
2016,1/16-FINALS,Wright P.,Huybrechts R.
2016,1/16-FINALS,Lewis A.,Gilding A.
2016,1/16-FINALS,Pallett D.,Suljovic M.
2016,1/16-FINALS,Jenkins T.,Webster M.
2016,1/16-FINALS,Norris A.,Murnan J.
2016,1/16-FINALS,van Gerwen M.,Webster D.
2016,1/16-FINALS,Wade J.,Newton W.
2016,1/16-FINALS,van Barneveld R.,Bunting S.
2016,1/16-FINALS,Van der Voort V.,Anderson K.
2016,1/16-FINALS,van den Bergh D.,van de Pas B.
2016,1/16-FINALS,Smith M.,Beaton S.
2016,1/16-FINALS,Anderson G.,Gurney D.
2016,1/16-FINALS,Chisnall D.,Kist C.
2016,1/16-FINALS,Evans R.,Caven J.
2016,1/32-FINALS,Klaasen J.,Cullen J.
2016,1/32-FINALS,Lewis A.,Dekker J.
2016,1/32-FINALS,van de Pas B.,Hopp M.
2016,1/32-FINALS,Gilding A.,Price G.
2016,1/32-FINALS,Jenkins T.,Young D.
2016,1/32-FINALS,Chisnall D.,Rodriguez R.-J.
2016,1/32-FINALS,Newton W.,Reyes C.
2016,1/32-FINALS,Winstanley D.,Huybrechts R.
2016,1/32-FINALS,Wade J.,Michael J.
2016,1/32-FINALS,Smith M.,de Zwaan J.
2016,1/32-FINALS,Thornton R.,Norris A.
2016,FINAL,Scheffer W.,Michael J.
2016,1/32-FINALS,King M.,Oreshkin A.
2016,1/32-FINALS,van Barneveld R.,van Duijvenbode D.
2016,1/32-FINALS,Bunting S.,Artut J.
2016,FINAL,Oreshkin A.,Lim P.
2016,1/32-FINALS,Caven J.,Szabo R.
2016,1/32-FINALS,Suljovic M.,Wattimena J.
2016,1/32-FINALS,Hamilton A.,Murnan J.
2016,FINAL,Rasztovits M.,Szabo R.
2016,1/32-FINALS,Taylor P.,Ono K.
2016,1/32-FINALS,Van der Voort V.,Ryder L.
2016,1/32-FINALS,Whitlock S.,Evans R.
2016,FINAL,Ono K.,Tagarao A.
2016,1/32-FINALS,Painter K.,Viljanen K.
2016,1/32-FINALS,White I.,van den Bergh D.
2016,1/32-FINALS,Beaton S.,Kokiri K.
2016,FINAL,Viljanen K.,Groen S.
2016,1/32-FINALS,van Gerwen M.,Eidams R.
2016,1/32-FINALS,Huybrechts K.,Pallett D.
2016,1/32-FINALS,Dolan B.,Anderson K.
2016,FINAL,Gaweenuntawong T.,Eidams R.
2016,1/32-FINALS,Webster M.,McGowan M.
2016,1/32-FINALS,Pipe J.,Kist C.
2016,1/32-FINALS,Henderson J.,Webster D.
2016,FINAL,Qiang S.,McGowan M.
2016,1/32-FINALS,Anderson G.,Boulton A.
2016,1/32-FINALS,Wright P.,Brown K.
2016,1/32-FINALS,Lewis J.,Gurney D.
2016,FINAL,Boulton A.,Laursen P.
